driver_id,Amount(+)
9366747,400.0
9371254,441.0
9376118,265.0
9376962,600.0
9386102,350.0
9387711,270.0
9388181,250.0
9391999,250.0
9392103,285.0
9392586,260.0
9396327,400.0
9397251,500.0
9400706,428.0
9400801,265.08
9400956,1000.0
9401433,400.0
9401758,250.0
9405091,400.0
9405519,406.0
9420128,450.0
9420555,300.0
9434235,450.0
9438498,300.0
9444503,443.0
9454256,1130.0
9454472,460.0
9454953,453.0
9460356,325.0
9464363,500.0
9465033,297.0
9468468,379.0
9469319,500.0
9469504,420.0
9471558,337.0
9474111,466.0
9475685,416.0
9477056,250.0
9479477,400.0
9480106,400.0
9480129,500.0
9480702,500.0
